"id","english_definition","chinese_id.car","chinese_id.simplified_chinese","chinese_id.link","chinese_id.link_nuovo","rom_id.rom"
8746,"yeast","酴","酴",,,"tu^'"
8747,"yeast/leavening/fermentation/Taiwan pr. [xiào]","酵","酵",,,"kiao/"
7494,"yellow floating heart (Nymphoides peltatum)","荇","荇",,,"hing\"
9594,"yellow/pornographic/to fall through or surname Huang or Hwang","黃","黄",,,"hoang^"
4854,"yesterday","昨","昨",,,"ço˘"
3939,"young","幼","幼",,,"ieu/"
7732,"young dragon with horns","虯","虬",,,"kieu^'"
4020,"younger brother/junior male/I (modest word in letter) or variant of 悌[tì]","弟","弟",,,"ti/"
3521,"younger sister","妹","妹",,,"moei/"
6089,"young melon","瓞","瓞",,,"tiė˘"
9555,"young phoenix","鸑","𬸚",,,"nio˘"
9556,"young phoenix","鸑","𬸚",,,"io˘"
3353,"your servant (deprecatory self-reference for women)","妾","妾",,,"çie˘'"
7359,"your servant (used in addressing the sovereign)/Kangxi radical 131 or surname Chen","臣","臣",,,"chin^'"
2655,"zealous","劻","劻",,,"quang¯'"
5156,"Zelkowa acuminata","椐","椐",,,"kiụ¯"
5673,"Zhang river in Fujian","漳","漳",,,"chang¯"
8716,"Zheng state during the Warring States period/surname Zheng/abbr. for 鄭州|郑州[Zhèng zhōu]","鄭","郑",,,"ching/"
8721,"Zhou Dynasty capital/surname Feng","酆","酆",,,"fung¯"
7482,"Zizania aquatica","茭","茭",,,"kiao¯"
7543,"Zizania latifolia/mushroom","菰","菰",,,"ku¯"
9258,"zoomorphic mask motif","餮","餮",,,"tie˘'"
9282,"zoomorphic mask motif","饕","饕",,,"tao¯'"
7421,"Zoysia pungens","芝","芝",,,"chi¯"
4544,"φ) or surname Fei","斐","斐",,,"fi\"
2064,"位[wei4]","人","人",,,"jin^"
3142,"個|个[ge4]","嘴","觜",,,"çui\"
3433,"個|个[ge4]","夢","梦",,,"mung/"
3434,"個|个[ge4]","夢","梦",,,"mung^"
3788,"個|个[ge4]","屋","屋",,,"¨vȯ˘"
4099,"個|个[ge4]","心","心",,,"sin¯"
5895,"個|个[ge4]","牌","牌",,,"pai^'"
7225,"個|个[ge4]","肝","肝",,,"kan¯"
7345,"個|个[ge4]","臉","脸",,,"lien\"
7346,"個|个[ge4]","臉","脸",,,"kien\"
8038,"個|个[ge4]/a form of lyric poetry","詞","词",,,"çụ^'"
5275,"個|个[ge4]/classifier for versions or models (of a product)","款","款",,,"quon\'"
2048,"吧[ba5]","乎","乎",,,"hu^"
5288,"呢[ne5] or 啊[a1])","歟","欤",,,"iụ^"
9055,"場|场[chang2] or snow etc) to fall/to precipitate/to wet","雨","雨",,,"iụ\"
9056,"場|场[chang2] or snow etc) to fall/to precipitate/to wet","雨","雨",,,"iụ/"
6806,"塊|块[kuai4]","糖","糖",,,"tang^'"
7487,"壺|壶[hu2]","茶","茶",,,"cha^'"
9447,"尾[wei3] or surname Yu","魚","鱼",,,"iụ^"
3779,"工尺譜|工尺谱[gong1 che3 pu3] or 把[ba3]","尺","尺",,,"chė˘'"
8053,"席[xi2]","話","话",,,"hoa/"
3823,"座[zuo4]","島","岛",,,"tao\"
8874,"座[zuo4]","鐘","鍾",,,"chung¯"
3314,"張|张[zhang1]","報","报",,,"pao/"
2639,"把[ba3]/classifier for blows of a sword","劍","剑",,,"kien/"
7495,"撮[zuo3] or variant of 肏[cào]","草","艸",,,"çao\'"
6666,"支[zhi1]","竹","竹",,,"chȯ˘"
8789,"支[zhi1]","針","针",,,"chin¯"
7432,"支[zhi1] or surname Hua","花","華",,,"hoa¯"
4960,"根[gen1]","杆","杆",,,"kan¯"
5935,"條|条[tiao2]","狗","豿",,,"keu\"
2069,"樁|桩[zhuang1]","事","事",,,"su̇/"
5386,"汗國|汗国[han2 guo2] or 頭|头[tou2]","汗","汗",,,"han/"
6843,"沓[da2]/classifier for documents","紙","纸",,,"chi\"
5598,"片[pian4]","湖","湖",,,"hu^"
7592,"瓣[ban4]","蒜","蒜",,,"suon/"
8728,"瓶[ping2]","酒","酒",,,"çieu\"
8729,"瓶[ping2]","酒","酒",,,"çieu\"
8730,"瓶[ping2]","[.]_345_10_prin",,,"https://dict.variants.moe.edu.tw/dictView.jsp?ID=23616","çieu^'"
8087,"節|节[jie2]/to levy/tax/form of divination","課","课",,,"ko/'"
8215,"粒[li4]/sacrificial vessel","豆","頭",,,"teu/"
9204,"絲|丝[si1]","風","风",,,"fung¯"
6950,"股[gu3]","線","线",,,"sien/"
8635,"股[gu3]/principle/truth/morality/reason/skill/method/Dao (of Daoism)/to say/to speak/to talk/classifier for long thin things (rivers","道","道",,,"tao/"
4933,"輪|轮[lun2]","月","月",,,"iue˘"
3281,"道[dao4]","城","城",,,"ching^'"
5433,"道[dao4]","河","河",,,"ho^"
9185,"道[dao4] or surname Ti","題","题",,,"ti^'"
